platform,item_category,brand,condition,final_sale_price,original_list_price,days_to_sale,listing_day_of_week,listing_time,sold_date,title,item_id,image_url
eBay,denim jacket,Unknown,Good,59.95,59.95,,Wednesday,22:45,2026-04-01,Vintage Mickey & Co Aero Mickey Mouse Denim Jean Jacket Men’s Airplane Disney ,v1|318092284541|0,https://i.ebayimg.com/images/g/4QAAAeSwOzRpye5b/s-l225.jpg
eBay,denim jacket,Unknown,New,50.29,50.29,,Wednesday,22:45,2026-04-01,Levi’s Trucker Jacket Men's Size Large Black Denim Button-Up Standard BNWT,v1|406821331425|0,https://i.ebayimg.com/images/g/1CQAAeSwC1VptBcq/s-l225.jpg
eBay,denim jacket,Unknown,Good,57.74,57.74,,Wednesday,22:44,2026-04-01,Tribal Jeans Women Blue Denim Jacket XS,v1|298183951639|0,
eBay,denim jacket,Levis,Good,199.0,199.0,,Wednesday,22:44,2026-04-01,Vintage 70’s Levis 70505-0217 Type III Raw Denim Trucker Jacket Size 38,v1|206183404660|0,https://i.ebayimg.com/images/g/K~gAAeSwYwFpzZ8K/s-l225.jpg
eBay,denim jacket,Unknown,Like New,14.0,14.0,,Wednesday,22:42,2026-04-01,Jean jacket ,v1|236730077019|0,https://i.ebayimg.com/images/g/i-kAAeSw0ZJpzZ8Z/s-l225.jpg
eBay,denim jacket,Unknown,Good,25.74,25.74,,Wednesday,22:42,2026-04-01,Merona Women White Denim Jacket S,v1|306856024888|0,
eBay,denim jacket,Unknown,Good,23.99,23.99,,Wednesday,22:42,2026-04-01,Lularoe Jaxon Denim Jean Jacket Aztec Tribal Boho Western Style Embroider Small,v1|257438093670|0,https://i.ebayimg.com/images/g/TY8AAOSwJThkudEU/s-l225.jpg
eBay,denim jacket,Unknown,Good,64.95,64.95,,Wednesday,22:41,2026-04-01,REPLAY BLUE JEANS DISTRESSED SHIRT JACKET MADE IN ITALY ROCK & ROLL HIPPIE BOHO,v1|267626776244|0,https://i.ebayimg.com/images/g/A70AAeSw3-dpzZCL/s-l225.jpg
eBay,denim jacket,Unknown,Like New,500.0,500.0,,Wednesday,22:40,2026-04-01,1970’s Levi Strauss & Co. Jean Jacket SIZE 44,v1|377080078212|0,https://i.ebayimg.com/images/g/~4AAAeSwYwFpzZp8/s-l225.jpg
eBay,denim jacket,Unknown,Like New,45.0,45.0,,Wednesday,22:40,2026-04-01,Levi’s Original Sherpa Trucker Jacket Women’s Medium Dark Wash Denim Coat EUC,v1|178014039819|0,https://i.ebayimg.com/images/g/h70AAeSwTP1pzZ6g/s-l225.jpg
eBay,denim jacket,Unknown,Good,22.99,22.99,,Wednesday,22:40,2026-04-01,VTG 70'S HIPPY HEALTHTEX STANTOG PATCHWORK FROG&MUSHROOM DENIM JEAN JACKET*5,v1|318092277441|0,https://i.ebayimg.com/images/g/5o0AAOSw7bBnhvta/s-l225.jpg
eBay,denim jacket,Unknown,Like New,19.86,19.86,,Wednesday,22:39,2026-04-01,Vintage Lucky Brand Men’s Denim Trucker Jacket XL Fall 2005 Distressed F821020,v1|257438091586|0,https://i.ebayimg.com/images/g/bccAAeSw22RpBnXy/s-l225.jpg
eBay,denim jacket,Unknown,Like New,12.0,12.0,,Wednesday,22:38,2026-04-01,"x SAY WHAT? WOMEN SZ XS DENIM JACKET-27"" LONG-DISTRESSED-ADJ WAIST-2 POCKET-EUC",v1|137188190198|0,https://i.ebayimg.com/images/g/SQIAAeSwf1VpzZpT/s-l225.jpg
eBay,denim jacket,Unknown,New,149.99,149.99,,Wednesday,22:37,2026-04-01,Viavia Oversized Denim Shacket in Vegas Shine $288rt XL/XXL Made in Italy NWT,v1|336513647623|0,https://i.ebayimg.com/images/g/fFQAAeSwRGVpVwwS/s-l225.jpg
eBay,denim jacket,Unknown,Like New,75.0,75.0,,Wednesday,22:37,2026-04-01,Marine Layer Denim Jean Bomber Jacket Button Up Red White Blue Stripe Size XS,v1|277856013743|0,https://i.ebayimg.com/images/g/uG4AAeSwgERpzZ5m/s-l225.jpg
